日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
フシギダネ	Bulbasaur	Bulbizarre	Bisasam	Bulbasaur	Bulbasaur	이상해씨	妙蛙种子	妙蛙種子
フシギソウ	Ivysaur	Herbizarre	Bisaknosp	Ivysaur	Ivysaur	이상해풀	妙蛙草	妙蛙草
フシギバナ	Venusaur	Florizarre	Bisaflor	Venusaur	Venusaur	이상해꽃	妙蛙花	妙蛙花
ヒトカゲ	Charmander	Salameche	Glumanda	Charmander	Charmander	파이리	小火龙	小火龍
リザード	Charmeleon	Reptincel	Glutexo	Charmeleon	Charmeleon	리자드	火恐龙	火恐龍
リザードン	Charizard	Dracaufeu	Glurak	Charizard	Charizard	리자몽	喷火龙	噴火龍
ゼニガメ	Squirtle	Carapuce	Schiggy	Squirtle	Squirtle	꼬부기	杰尼龟	傑尼龜
カメール	Wartortle	Carabaffe	Schillok	Wartortle	Wartortle	어니부기	卡咪龟	卡咪龜
カメックス	Blastoise	Tortank	Turtok	Blastoise	Blastoise	거북왕	水箭龟	水箭龜
キャタピー	Caterpie	Chenipan	Raupy	Caterpie	Caterpie	캐터피	绿毛虫	綠毛蟲
トランセル	Metapod	Chrysacier	Safcon	Metapod	Metapod	단데기	铁甲蛹	鐵甲蛹
バタフリー	Butterfree	Papilusion	Smettbo	Butterfree	Butterfree	버터플	巴大蝶	巴大蝶
ビードル	Weedle	Aspicot	Hornliu	Weedle	Weedle	뿔충이	独角虫	獨角蟲
コクーン	Kakuna	Coconfort	Kokuna	Kakuna	Kakuna	딱충이	铁壳蛹	鐵殼蛹
スピアー	Beedrill	Dardagnan	Bibor	Beedrill	Beedrill	독침붕	大针蜂	大針蜂
ポッポ	Pidgey	Roucool	Taubsi	Pidgey	Pidgey	구구	波波	波波
ピジョン	Pidgeotto	Roucoups	Tauboga	Pidgeotto	Pidgeotto	피죤	比比鸟	比比鳥
ピジョット	Pidgeot	Roucarnage	Tauboss	Pidgeot	Pidgeot	피죤투	大比鸟	大比鳥
