,id,form_id,name,form,alias,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
0001-000,1,0,フシギダネ,,フシギダネ,たねポケモン,6.9,0.7,くさ,どく,しんりょく,ようりょくそ,,9,45,49,49,65,65,45
0002-000,2,0,フシギソウ,,フシギソウ,たねポケモン,13.0,1.0,くさ,どく,しんりょく,ようりょくそ,,9,60,62,63,80,80,60
0003-000,3,0,フシギバナ,,フシギバナ,たねポケモン,100.0,2.0,くさ,どく,しんりょく,ようりょくそ,,9,80,82,83,100,100,80
0003-001,3,1,フシギバナ,メガフシギバナ,メガフシギバナ,たねポケモン,155.5,2.4,くさ,どく,あついしぼう,ようりょくそ,,7,80,82,83,100,100,80
0003-999,3,999,フシギバナ,キョダイマックス,フシギバナ(キョダイ),-,9999.9,24.0,くさ,どく,しんりょく,ようりょくそ,,8,80,82,83,100,100,80
0004-000,4,0,ヒトカゲ,,ヒトカゲ,とかげポケモン,8.5,0.6,ほのお,,もうか,サンパワー,,9,39,52,43,60,50,65
0005-000,5,0,リザード,,リザード,かえんポケモン,19.0,1.1,ほのお,,もうか,サンパワー,,9,58,64,58,80,65,80
0006-000,6,0,リザードン,,リザードン,かえんポケモン,90.5,1.7,ほのお,ひこう,もうか,サンパワー,,9,78,84,78,109,85,100
0006-001,6,1,リザードン,メガリザードンＸ,メガリザードンＸ,かえんポケモン,110.5,1.7,ほのお,ドラゴン,かたいツメ,サンパワー,,7,78,84,78,109,85,100
0006-002,6,2,リザードン,メガリザードンＹ,メガリザードンＹ,かえんポケモン,100.5,1.7,ほのお,ひこう,ひでり,サンパワー,,7,78,84,78,109,85,100
0006-999,6,999,リザードン,キョダイマックス,リザードン(キョダイ),-,9999.9,28.0,ほのお,ひこう,もうか,サンパワー,,8,78,84,78,109,85,100
0007-000,7,0,ゼニガメ,,ゼニガメ,かめのこポケモン,9.0,0.5,みず,,げきりゅう,あめうけざら,,9,44,48,65,50,64,43
0008-000,8,0,カメール,,カメール,かめポケモン,22.5,1.0,みず,,げきりゅう,あめうけざら,,9,59,63,80,65,80,58
0009-000,9,0,カメックス,,カメックス,こうらポケモン,85.5,1.6,みず,,げきりゅう,あめうけざら,,9,79,83,100,85,105,78
0009-001,9,1,カメックス,メガカメックス,メガカメックス,こうらポケモン,101.1,1.6,みず,,メガランチャー,あめうけざら,,7,79,83,100,85,105,78
0009-999,9,999,カメックス,キョダイマックス,カメックス(キョダイ),-,9999.9,25.0,みず,,げきりゅう,あめうけざら,,8,79,83,100,85,105,78
0010-000,10,0,キャタピー,,キャタピー,いもむしポケモン,2.9,0.3,むし,,りんぷん,にげあし,,8,45,30,35,20,20,45
0011-000,11,0,トランセル,,トランセル,さなぎポケモン,9.9,0.7,むし,,だっぴ,,,8,50,20,55,25,25,30
0012-000,12,0,バタフリー,,バタフリー,ちょうちょポケモン,32.0,1.1,むし,ひこう,ふくがん,いろめがね,,8,60,45,50,90,80,70
0012-999,12,999,バタフリー,キョダイマックス,バタフリー(キョダイ),-,9999.9,17.0,むし,ひこう,ふくがん,いろめがね,,8,60,45,50,90,80,70
0013-000,13,0,ビードル,,ビードル,けむしポケモン,3.2,0.3,むし,どく,りんぷん,にげあし,,8,40,35,30,20,20,50
0014-000,14,0,コクーン,,コクーン,さなぎポケモン,10.0,0.6,むし,どく,だっぴ,,,8,45,25,50,25,25,35
0015-000,15,0,スピアー,,スピアー,どくばちポケモン,29.5,1.0,むし,どく,むしのしらせ,スナイパー,,8,65,90,40,45,80,75
0015-001,15,1,スピアー,メガスピアー,メガスピアー,どくばちポケモン,40.5,1.4,むし,どく,てきおうりょく,スナイパー,,7,65,90,40,45,80,75
0016-000,16,0,ポッポ,,ポッポ,ことりポケモン,1.8,0.3,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,40,45,40,35,35,56
0017-000,17,0,ピジョン,,ピジョン,とりポケモン,30.0,1.1,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,63,60,55,50,50,71
0018-000,18,0,ピジョット,,ピジョット,とりポケモン,39.5,1.5,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,83,80,75,70,70,101
0018-001,18,1,ピジョット,メガピジョット,メガピジョット,とりポケモン,50.5,2.2,ノーマル,ひこう,ノーガード,はとむね,,7,83,80,75,70,70,101
0019-000,19,0,コラッタ,,コラッタ,ねずみポケモン,3.5,0.3,ノーマル,,にげあし,こんじょう,はりきり,8,30,56,35,25,35,72
0019-001,19,1,コラッタ,アローラのすがた,コラッタ(アローラ),ねずみポケモン,3.8,0.3,あく,ノーマル,くいしんぼう,はりきり,こんじょう,8,30,56,35,25,35,72
0020-000,20,0,ラッタ,,ラッタ,ねずみポケモン,18.5,0.7,ノーマル,,にげあし,こんじょう,はりきり,8,55,81,60,50,70,97
0020-001,20,1,ラッタ,アローラのすがた,ラッタ(アローラ),ねずみポケモン,25.5,0.7,あく,ノーマル,くいしんぼう,はりきり,こんじょう,8,55,81,60,50,70,97
0021-000,21,0,オニスズメ,,オニスズメ,ことりポケモン,2.0,0.3,ノーマル,ひこう,するどいめ,スナイパー,,8,40,60,30,31,31,70
0022-000,22,0,オニドリル,,オニドリル,くちばしポケモン,38.0,1.2,ノーマル,ひこう,するどいめ,スナイパー,,8,65,90,65,61,61,100
0023-000,23,0,アーボ,,アーボ,へびポケモン,6.9,2.0,どく,,いかく,だっぴ,きんちょうかん,9,35,60,44,40,54,55
0024-000,24,0,アーボック,,アーボック,コブラポケモン,65.0,3.5,どく,,いかく,だっぴ,きんちょうかん,9,60,95,69,65,79,80
0025-000,25,0,ピカチュウ,,ピカチュウ,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
0025-999,25,999,ピカチュウ,キョダイマックス,ピカチュウ(キョダイ),-,9999.9,21.0,でんき,,せいでんき,ひらいしん,,8,35,55,40,50,50,90
0026-000,26,0,ライチュウ,,ライチュウ,ねずみポケモン,30.0,0.8,でんき,,せいでんき,ひらいしん,,9,60,90,55,90,80,110
0026-001,26,1,ライチュウ,アローラのすがた,ライチュウ(アローラ),ねずみポケモン,21.0,0.7,でんき,エスパー,サーフテール,ひらいしん,,9,60,85,50,95,85,110
0027-000,27,0,サンド,,サンド,ねずみポケモン,12.0,0.6,じめん,,すながくれ,すなかき,,9,50,75,85,20,30,40
0027-001,27,1,サンド,アローラのすがた,サンド(アローラ),ねずみポケモン,40.0,0.7,こおり,はがね,ゆきがくれ,すなかき,ゆきかき,9,50,75,90,10,35,40
0028-000,28,0,サンドパン,,サンドパン,ねずみポケモン,29.5,1.0,じめん,,すながくれ,すなかき,,9,75,100,110,45,55,65
0028-001,28,1,サンドパン,アローラのすがた,サンドパン(アローラ),ねずみポケモン,55.0,1.2,こおり,はがね,ゆきがくれ,すなかき,ゆきかき,9,75,100,120,25,65,65
0029-000,29,0,ニドラン♀,,ニドラン♀,どくばりポケモン,7.0,0.4,どく,,どくのトゲ,とうそうしん,はりきり,8,55,47,52,40,40,41
0030-000,30,0,ニドリーナ,,ニドリーナ,どくばりポケモン,20.0,0.8,どく,,どくのトゲ,とうそうしん,はりきり,8,70,62,67,55,55,56
0031-000,31,0,ニドクイン,,ニドクイン,ドリルポケモン,60.0,1.3,どく,じめん,どくのトゲ,とうそうしん,ちからずく,8,90,92,87,75,85,76
0032-000,32,0,ニドラン♂,,ニドラン♂,どくばりポケモン,9.0,0.5,どく,,どくのトゲ,とうそうしん,はりきり,8,46,57,40,40,40,50
0033-000,33,0,ニドリーノ,,ニドリーノ,どくばりポケモン,19.5,0.9,どく,,どくのトゲ,とうそうしん,はりきり,8,61,72,57,55,55,65
