,rank,rate,id,pokemon,form,type1,type2,category,terastal,item,ability,move_0,move_1,move_2,move_3
0,1,2246.449,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ,,,,,
1,1,2246.449,1018-00,ブリジュラス,,はがね,ドラゴン,一般,でんき,パワフルハーブ,,,,,
2,1,2246.449,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,,,,,
3,1,2246.449,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,こだわりハチマキ,,,,,
4,1,2246.449,0823-00,アーマーガア,,ひこう,はがね,一般,あく,ゴツゴツメット,,,,,
5,1,2246.449,0260-00,ラグラージ,,みず,じめん,一般,ほのお,オボンのみ,,,,,
6,2,2235.23,0908-00,マスカーニャ,,くさ,あく,一般,はがね,こだわりハチマキ,へんげんじざい,とんぼがえり,トリックフラワー,トリプルアクセル,はたきおとす
7,2,2235.23,0594-00,ママンボウ,,みず,,一般,ゴースト,とつげきチョッキ,さいせいりょく,クイックターン,アクアジェット,ねっとう,ミラーコート
8,2,2235.23,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,ふゆう,どくどく,まもる,みがわり,じごくづき
9,2,2235.23,0970-00,キラフロル,,いわ,どく,一般,フェアリー,きあいのタスキ,どくげしょう,だいちのちから,マジカルシャイン,ヘドロウェーブ,パワージェム
10,2,2235.23,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,てんねん,ねむる,まもる,あくび,ゆきなだれ
11,2,2235.23,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ゴースト,こだわりメガネ,すりぬけ,とんぼがえり,たたりめ,シャドーボール,りゅうせいぐん
12,3,2211.555,0748-00,ドヒドイデ,,どく,みず,一般,はがね,もちものなし,さいせいりょく,まとわりつく,どくびし,トーチカ,じこさいせい
13,3,2211.555,0242-00,ハピナス,,ノーマル,,一般,かくとう,あつぞこブーツ,しぜんかいふく,テラバースト,シャドーボール,めいそう,タマゴうみ
14,3,2211.555,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,てんねん,じわれ,ゆきなだれ,まもる,ねむる
15,3,2211.555,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,ふゆう,はたきおとす,なげつける,みがわり,まもる
16,3,2211.555,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,おんみつマント,おうごんのからだ,ゴールドラッシュ,シャドーボール,わるだくみ,じこさいせい
17,3,2211.555,0706-00,ヌメルゴン,,ドラゴン,,一般,フェアリー,カゴのみ,そうしょく,りゅうのはどう,かえんほうしゃ,どくどく,ねむる
18,4,2208.11,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,フェアリー,たべのこし,しんがん,ブラッドムーン,だいちのちから,あくび,まもる
19,4,2208.11,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,おんみつマント,マルチスケイル,しんそく,じしん,アイススピナー,はねやすめ
20,4,2208.11,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,とつげきチョッキ,おうごんのからだ,シャドーボール,ゴールドラッシュ,チャージビーム,きあいだま
21,4,2208.11,0815-00,エースバーン,,ほのお,,一般,ほのお,こだわりハチマキ,リベロ,かえんボール,とびひざげり,ダストシュート,とんぼがえり
22,4,2208.11,0908-00,マスカーニャ,,くさ,あく,一般,はがね,こだわりスカーフ,へんげんじざい,はたきおとす,トリプルアクセル,トリック,とんぼがえり
23,4,2208.11,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,ゴースト,ふうせん,かがくへんかガス,ワンダースチーム,どくどく,どくびし,いたみわけ
24,5,2204.299,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,こだわりスカーフ,さめはだ,げきりん,じしん,テラバースト,ステルスロック
25,5,2204.299,0233-00,ポリゴン２,,ノーマル,,一般,どく,しんかのきせき,ダウンロード,シャドーボール,れいとうビーム,でんじは,じこさいせい
26,5,2204.299,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,おうごんのからだ,シャドーボール,ゴールドラッシュ,トリック,じこさいせい
27,5,2204.299,1018-00,ブリジュラス,,はがね,ドラゴン,一般,フェアリー,たべのこし,じきゅうりょく,ラスターカノン,ドラゴンテール,ボディプレス,てっぺき
28,5,2204.299,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,どく,くろいヘドロ,ふゆう,ちょうはつ,どくどく,どくびし,ワンダースチーム
29,5,2204.299,0911-00,ラウドボーン,,ほのお,ゴースト,一般,みず,あつぞこブーツ,てんねん,フレアソング,おにび,なまける,たたりめ
30,6,2202.935,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ,マルチスケイル,しんそく,じしん,けたぐり,りゅうのまい
