,season,rank,rate,alias,id,pokemon,form,type1,type2,category,terastal,item
0,5,1,2203.506,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,フェアリー,ゴツゴツメット
1,5,1,2203.506,ドオー,0980-00,ドオー,,どく,じめん,一般,みず,たべのこし
2,5,1,2203.506,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ
3,5,1,2203.506,サーフゴー,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,おんみつマント
4,5,1,2203.506,ウォッシュロトム,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,はがね,こだわりスカーフ
5,5,1,2203.506,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,くさ,とつげきチョッキ
6,5,2,2199.203,テツノカイナ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ
7,5,2,2199.203,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ
8,5,2,2199.203,アーマーガア,0823-00,アーマーガア,,ひこう,はがね,一般,ほのお,オボンのみ
9,5,2,2199.203,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,こおり,いのちのたま
10,5,2,2199.203,キョジオーン,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし
11,5,2,2199.203,キノガッサ,0286-00,キノガッサ,,くさ,かくとう,一般,ほのお,いかさまダイス
12,5,3,2193.428,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,こだわりスカーフ
13,5,3,2193.428,テツノドクガ,0994-00,テツノドクガ,,ほのお,どく,パラドックス,ゴースト,ブーストエナジー
14,5,3,2193.428,サーフゴー,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ
15,5,3,2193.428,テツノツツミ,0991-00,テツノツツミ,,こおり,みず,パラドックス,くさ,きあいのタスキ
16,5,3,2193.428,チオンジェン,1001-00,チオンジェン,,あく,くさ,準伝説,フェアリー,たべのこし
17,5,3,2193.428,イルカマン(ナイーブ),0964-00,イルカマン,ナイーブフォルム,みず,,一般,みず,とつげきチョッキ
18,5,4,2190.04,カバルドン,0450-00,カバルドン,,じめん,,一般,はがね,オボンのみ
19,5,4,2190.04,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
20,5,4,2190.04,サーフゴー,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ
21,5,4,2190.04,テツノツツミ,0991-00,テツノツツミ,,こおり,みず,パラドックス,みず,ブーストエナジー
22,5,4,2190.04,ミミッキュ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,いのちのたま
23,5,4,2190.04,イーユイ,1004-00,イーユイ,,あく,ほのお,準伝説,フェアリー,とつげきチョッキ
24,5,5,2188.19,キョジオーン,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし
25,5,5,2188.19,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ
26,5,5,2188.19,テツノドクガ,0994-00,テツノドクガ,,ほのお,どく,パラドックス,みず,ブーストエナジー
27,5,5,2188.19,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりスカーフ
28,5,5,2188.19,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,でんき,とつげきチョッキ
29,5,5,2188.19,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,あく,こだわりハチマキ
30,5,6,2186.399,セグレイブ,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ
31,5,6,2186.399,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,どく,たべのこし
32,5,6,2186.399,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ
33,5,6,2186.399,イーユイ,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,オボンのみ
34,5,6,2186.399,イダイナキバ,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,はがね,きあいのタスキ
35,5,6,2186.399,テツノドクガ,0994-00,テツノドクガ,,ほのお,どく,パラドックス,フェアリー,こだわりスカーフ
36,5,7,2184.982,ドラパルト,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ゴースト,こだわりハチマキ
37,5,7,2184.982,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,じめん,たべのこし
38,5,7,2184.982,ジバコイル,0462-00,ジバコイル,,でんき,はがね,一般,みず,とつげきチョッキ
39,5,7,2184.982,テツノドクガ,0994-00,テツノドクガ,,ほのお,どく,パラドックス,くさ,こだわりメガネ
40,5,7,2184.982,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,おんみつマント
41,5,7,2184.982,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,でんき,いのちのたま
42,5,8,2183.854,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,みず,たべのこし
43,5,8,2183.854,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ
44,5,8,2183.854,テツノドクガ,0994-00,テツノドクガ,,ほのお,どく,パラドックス,みず,ブーストエナジー
45,5,8,2183.854,ミミッキュ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,いのちのたま
46,5,8,2183.854,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,フェアリー,とつげきチョッキ
47,5,8,2183.854,サーフゴー,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ
48,5,9,2182.768,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,みず,オボンのみ
49,5,9,2182.768,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ
50,5,9,2182.768,サーフゴー,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ
51,5,9,2182.768,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ
52,5,9,2182.768,ミミッキュ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,こだわりスカーフ
