,season,rank,rate,alias,id,pokemon,form,type1,type2,category,terastal,item
0,32,1,2150.174,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,こだわりスカーフ
1,32,1,2150.174,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,ノーマル,あつぞこブーツ
2,32,1,2150.174,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ほのお,こだわりハチマキ
3,32,1,2150.174,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,たべのこし
4,32,1,2150.174,ブリジュラス,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ノーマル,オボンのみ
5,32,1,2150.174,ドオー,0980-00,ドオー,,どく,じめん,一般,フェアリー,くろいヘドロ
6,32,4,2115.507,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,ノーマル,あつぞこブーツ
7,32,4,2115.507,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,こだわりメガネ
8,32,4,2115.507,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ノーマル,こだわりハチマキ
9,32,4,2115.507,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ
10,32,4,2115.507,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし
11,32,4,2115.507,ドオー,0980-00,ドオー,,どく,じめん,一般,ゴースト,くろいヘドロ
12,32,5,2103.761,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ
13,32,5,2103.761,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,でんき,いのちのたま
14,32,5,2103.761,ママンボウ,0594-00,ママンボウ,,みず,,一般,フェアリー,ゴツゴツメット
15,32,5,2103.761,テツノブジン,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,ゴースト,きあいのタスキ
16,32,5,2103.761,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,フェアリー,こだわりハチマキ
17,32,5,2103.761,カイオーガ,0382-00,カイオーガ,,みず,,禁止伝説,フェアリー,こだわりスカーフ
18,32,6,2096.347,ドーブル,0235-00,ドーブル,,ノーマル,,一般,くさ,きあいのタスキ
19,32,6,2096.347,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,こだわりメガネ
20,32,6,2096.347,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,あく,こだわりスカーフ
21,32,6,2096.347,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりハチマキ
22,32,6,2096.347,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし
23,32,6,2096.347,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,とつげきチョッキ
24,32,7,2095.258,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,こだわりスカーフ
25,32,7,2095.258,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ
26,32,7,2095.258,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,とつげきチョッキ
27,32,7,2095.258,バドレックス(はくば),0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ノーマル,いかさまダイス
28,32,7,2095.258,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ノーマル,こだわりハチマキ
29,32,7,2095.258,キラフロル,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード
30,32,12,2078.755,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ノーマル,こだわりスカーフ
31,32,12,2078.755,ルギア,0249-00,ルギア,,エスパー,ひこう,禁止伝説,どく,たべのこし
32,32,12,2078.755,ハリーマン,0904-00,ハリーマン,,あく,どく,一般,ノーマル,メンタルハーブ
33,32,12,2078.755,テツノワダチ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,くさ,ブーストエナジー
34,32,12,2078.755,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ラムのみ
35,32,12,2078.755,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ
36,32,16,2060.829,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ
37,32,16,2060.829,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,いのちのたま
38,32,16,2060.829,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ノーマル,こだわりハチマキ
39,32,16,2060.829,ブリジュラス,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ゴースト,パワフルハーブ
40,32,16,2060.829,アシレーヌ,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,とつげきチョッキ
41,32,16,2060.829,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ
42,32,17,2059.334,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,はがね,いかさまダイス
43,32,17,2059.334,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,ステラ,こだわりスカーフ
44,32,17,2059.334,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ
45,32,17,2059.334,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ
46,32,17,2059.334,キョジオーン,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし
47,32,17,2059.334,ドオー,0980-00,ドオー,,どく,じめん,一般,あく,メンタルハーブ
48,32,19,2057.649,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ
49,32,19,2057.649,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,こだわりメガネ
50,32,19,2057.649,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,はがね,とつげきチョッキ
51,32,19,2057.649,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ノーマル,たべのこし
52,32,19,2057.649,グライオン,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま
53,32,19,2057.649,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ
54,32,20,2052.432,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ
55,32,20,2052.432,バドレックス(はくば),0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,たべのこし
56,32,20,2052.432,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,どく,おんみつマント
57,32,20,2052.432,ミミッキュ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,ゴツゴツメット
58,32,20,2052.432,グライオン,0472-00,グライオン,,じめん,ひこう,一般,あく,どくどくだま
59,32,20,2052.432,ゲンガー,0094-00,ゲンガー,,ゴースト,どく,一般,ひこう,きあいのタスキ
60,32,21,2050.821,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,オボンのみ
61,32,21,2050.821,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,こだわりスカーフ
62,32,21,2050.821,ザシアン(けんのおう),0888-001,ザシアン,けんのおう,フェアリー,はがね,禁止伝説,でんき,くちたけん
63,32,21,2050.821,オーガポン(いしずえ),1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん
64,32,21,2050.821,キョジオーン,0934-00,キョジオーン,,いわ,,一般,くさ,たべのこし
65,32,21,2050.821,キラフロル,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード
66,32,24,2049.458,ネクロズマ(たそがれ),0800-01,ネクロズマ,たそがれのたてがみ,エスパー,はがね,禁止伝説,ノーマル,おんみつマント
67,32,24,2049.458,カイオーガ,0382-00,カイオーガ,,みず,,禁止伝説,フェアリー,とつげきチョッキ
68,32,24,2049.458,オーロンゲ,0861-00,オーロンゲ,,あく,フェアリー,一般,じめん,ひかりのねんど
69,32,24,2049.458,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,こだわりスカーフ
70,32,24,2049.458,カイリュー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
71,32,24,2049.458,ガチグマ,0901-00,ガチグマ,,じめん,ノーマル,一般,くさ,かえんだま
72,32,27,2044.732,ムゲンダイナ,0890-00,ムゲンダイナ,,どく,ドラゴン,禁止伝説,フェアリー,きあいのタスキ
73,32,27,2044.732,ルギア,0249-00,ルギア,,エスパー,ひこう,禁止伝説,ノーマル,たべのこし
74,32,27,2044.732,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,ほのお,いのちのたま
75,32,27,2044.732,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ
76,32,27,2044.732,ディンルー,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,オボンのみ
77,32,27,2044.732,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,ほのお,とくせいガード
78,32,28,2044.18,コライドン,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,フェアリー,こだわりハチマキ
79,32,28,2044.18,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,あく,こだわりスカーフ
80,32,28,2044.18,ドオー,0980-00,ドオー,,どく,じめん,一般,どく,くろいヘドロ
81,32,28,2044.18,ヘイラッシャ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし
82,32,28,2044.18,ガチグマ(アカツキ),0901-01,ガチグマ,アカツキ,じめん,ノーマル,一般,ノーマル,シルクのスカーフ
83,32,28,2044.18,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ
84,32,31,2041.046,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,こだわりスカーフ
85,32,31,2041.046,ルナアーラ,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,フェアリー,ゴツゴツメット
86,32,31,2041.046,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ
87,32,31,2041.046,パオジアン,1002-00,パオジアン,,あく,こおり,準伝説,でんき,きあいのタスキ
88,32,31,2041.046,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ノーマル,とつげきチョッキ
89,32,31,2041.046,ハバタクカミ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ
90,32,32,2039.352,ミライドン,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,だっしゅつパック
91,32,32,2039.352,ホウオウ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,フェアリー,とつげきチョッキ
92,32,32,2039.352,ランドロス(れいじゅう),0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,みず,ゴツゴツメット
93,32,32,2039.352,ウーラオス(れんげき),0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,フェアリー,しんぴのしずく
94,32,32,2039.352,テツノワダチ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,じめん,こだわりハチマキ
95,32,32,2039.352,メタモン,0132-00,メタモン,,ノーマル,,一般,ノーマル,こだわりスカーフ
96,32,35,2036.736,バドレックス(こくば),0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,みず,こだわりメガネ
97,32,35,2036.736,ザシアン(けんのおう),0888-001,ザシアン,けんのおう,フェアリー,はがね,禁止伝説,みず,くちたけん
